Placa_Veiculo,Descricao_POI,Data_Entrada,Data_Saida,Duracao,Status_Evento
SYD5G35,Carregamento RRp,31/07/2025 21:01,31/07/2025 21:22,20m,Saiu da cerca
SYL4A20,Abastecimento Frotas RRP,31/07/2025 21:01,31/07/2025 21:02,1m,Saiu da cerca
SYL4A20,Pro LOG,31/07/2025 21:01,31/07/2025 21:02,1m,Saiu da cerca
SYD5G32,Pro LOG,31/07/2025 21:02,31/07/2025 21:11,8m,Saiu da cerca
SYD5G20,PA AGUA CLARA,31/07/2025 21:03,31/07/2025 22:27,1h 23m,Saiu da cerca
SYD5F99,Descarga INO,31/07/2025 20:55,31/07/2025 20:57,2m,Saiu da cerca
SYD5F99,Terminal Inocencia,31/07/2025 20:55,31/07/2025 20:57,2m,Saiu da cerca
SYD5F99,Desc. INO,31/07/2025 20:55,31/07/2025 20:57,2m,Saiu da cerca
SYD5F99,Descarga Inocencia,31/07/2025 20:55,31/07/2025 21:01,6m,Saiu da cerca
SYD5G53,Desc. INO,31/07/2025 20:45,31/07/2025 21:15,30m,Saiu da cerca
SMG5F48,Desc. INO,31/07/2025 20:46,31/07/2025 21:10,24m,Saiu da cerca
SYL4A20,Abastecimento Frotas RRP,31/07/2025 21:08,31/07/2025 21:11,2m,Saiu da cerca
SYL4A20,Pro LOG,31/07/2025 21:08,31/07/2025 21:11,2m,Saiu da cerca
SYD5G17,PA AGUA CLARA,31/07/2025 21:09,31/07/2025 22:39,1h 30m,Saiu da cerca
SYD5G30,Abastecimento Frotas RRP,31/07/2025 21:09,31/07/2025 21:17,8m,Saiu da cerca
SYD5G30,Pro LOG,31/07/2025 21:09,31/07/2025 21:17,8m,Saiu da cerca
SYL4A20,Carregamento Fabrica RRP,31/07/2025 21:11,31/07/2025 21:11,0m,Saiu da cerca
SYL4A20,Carregamento Fabrica RRP,31/07/2025 21:11,31/07/2025 21:20,9m,Saiu da cerca
SYD5F89,Descarga INO,31/07/2025 21:07,31/07/2025 21:49,42m,Saiu da cerca
SYD5F89,Patio Vazio INO,31/07/2025 21:07,31/07/2025 21:23,16m,Saiu da cerca
SYD5G32,Carregamento Fabrica RRP,31/07/2025 21:13,31/07/2025 22:43,1h 30m,Saiu da cerca
SYD5G32,Enlonamento RRP,31/07/2025 21:13,31/07/2025 21:18,5m,Saiu da cerca
SMG5F48,Patio Carregado INO,31/07/2025 21:10,31/07/2025 21:27,16m,Saiu da cerca
SYD5G24,Enlonamento RRP,31/07/2025 21:13,31/07/2025 21:36,22m,Saiu da cerca
QUA0J34,Desc. INO,31/07/2025 21:01,31/07/2025 21:14,13m,Saiu da cerca
SYD5G65,Buffer frotas ,31/07/2025 21:14,31/07/2025 21:34,19m,Saiu da cerca
SYE7D10,Descarga INO,31/07/2025 21:09,31/07/2025 21:39,30m,Saiu da cerca
SYE7D10,Terminal Inocencia,31/07/2025 21:09,31/07/2025 21:39,30m,Saiu da cerca
SYE7D10,Patio Vazio INO,31/07/2025 21:09,31/07/2025 21:31,21m,Saiu da cerca
SYD5G48,Posto Mutum,31/07/2025 21:15,31/07/2025 21:17,2m,Saiu da cerca
SYD5G57,Carregamento RRp,31/07/2025 21:15,31/07/2025 21:16,1m,Saiu da cerca
SYL5J46,Agua Clara,31/07/2025 21:15,31/07/2025 22:20,1h 4m,Saiu da cerca
SYL4A20,Enlonamento RRP,31/07/2025 21:15,31/07/2025 21:18,2m,Saiu da cerca
SYD5G30,Carregamento Fabrica RRP,31/07/2025 21:18,31/07/2025 22:55,1h 36m,Saiu da cerca
SYD5G32,Carregamento RRp,31/07/2025 21:19,31/07/2025 21:20,0m,Saiu da cerca
QUA0J34,Descarga INO,31/07/2025 21:14,31/07/2025 21:16,1m,Saiu da cerca
QUA0J34,Patio Vazio INO,31/07/2025 21:14,31/07/2025 21:16,1m,Saiu da cerca
QUA0J34,Patio Carregado INO,31/07/2025 21:16,31/07/2025 21:39,23m,Saiu da cerca
SYD5G57,Carregamento RRp,31/07/2025 21:20,31/07/2025 21:29,9m,Saiu da cerca
SYL4A20,Carregamento RRp,31/07/2025 21:20,31/07/2025 21:42,21m,Saiu da cerca
SYL4A20,Carregamento Fabrica RRP,31/07/2025 21:20,31/07/2025 22:12,51m,Saiu da cerca
