Filial,Placa_Veiculo,Descricao_POI,Grupo_POI,Data_Entrada,Data_Saida,Status,Duracao
TLS,RKS8B70,PA Celulose,Ponto Apoio,07/08/2025 09:56:53,07/08/2025 11:22:08,Saiu da cerca,1.42
TLS,RKS8B70,Carregamento Fabrica,Fábrica,07/08/2025 12:12:05,07/08/2025 13:25:52,Saiu da cerca,1.23
TLS,RNZ4D42,FILA DESCARGA APT,Terminal,07/08/2025 07:38:58,07/08/2025 08:33:25,Saiu da cerca,0.91
TLS,RNZ4D42,Descarga TAP,Terminal,07/08/2025 08:36:13,07/08/2025 09:54:11,Saiu da cerca,1.3
TLS,RNZ4D54,POSTO DE ABASTECIMENTO,Abastecimento,07/08/2025 10:51:03,07/08/2025 11:01:20,Saiu da cerca,0.17
TLS,RNZ4D54,Carregamento Fabrica,Fábrica,07/08/2025 11:13:37,,Entrou na cerca,0.0
TLS,RTB1D49,FILA DESCARGA APT,Terminal,07/08/2025 11:29:32,07/08/2025 13:58:52,Saiu da cerca,2.49
TLS,RTB1D49,Descarga TAP,Terminal,07/08/2025 13:58:52,07/08/2025 14:04:47,Saiu da cerca,0.1
TLS,RTC0F92,Manutencao Celulose,Manutenção,07/08/2025 14:10:00,07/08/2025 14:11:03,Saiu da cerca,0.02
TLS,RTC0F92,PA Celulose,Ponto Apoio,07/08/2025 14:11:03,07/08/2025 14:23:46,Saiu da cerca,0.21
TLS,RTD9D57,Carregamento Fabrica,Fábrica,07/08/2025 09:30:32,07/08/2025 10:22:13,Saiu da cerca,0.86
TLS,RTF1I34,Carregamento Fabrica,Fábrica,07/08/2025 11:58:34,07/08/2025 12:50:03,Saiu da cerca,0.86
TLS,RTF1I36,Carregamento Fabrica,Fábrica,07/08/2025 10:23:04,07/08/2025 11:12:15,Saiu da cerca,0.82
TLS,RTF1I45,Carregamento Fabrica,Fábrica,07/08/2025 10:45:56,07/08/2025 11:50:28,Saiu da cerca,1.08
TLS,RTF1I51,FILA DESCARGA APT,Terminal,07/08/2025 10:13:57,07/08/2025 11:10:04,Saiu da cerca,0.94
TLS,RTF1I51,Descarga TAP,Terminal,07/08/2025 11:10:04,07/08/2025 12:00:49,Saiu da cerca,0.85
TLS,RTF1I51,FILA DESCARGA APT,Terminal,07/08/2025 12:00:49,07/08/2025 12:06:47,Saiu da cerca,0.1
TLS,RTU8A54,PA Celulose,Ponto Apoio,07/08/2025 06:02:04,07/08/2025 06:14:21,Saiu da cerca,0.2
TLS,RUM1D35,Carregamento Fabrica,Fábrica,07/08/2025 10:39:31,07/08/2025 11:36:44,Saiu da cerca,0.95
TLS,RVT8E85,Carregamento Fabrica,Fábrica,07/08/2025 09:46:51,07/08/2025 10:36:35,Saiu da cerca,0.83
RRP,RWB3C06,Agua Clara,Agua Clara,07/08/2025 10:37:11,07/08/2025 10:47:16,Saiu da cerca,0.17
RRP,RWB3C06,PA AGUA CLARA,Ponto Apoio,07/08/2025 10:45:15,07/08/2025 10:47:16,Saiu da cerca,0.03
RRP,RWB3C06,Abastecimento Frotas RRP,Abastecimento,07/08/2025 12:13:55,07/08/2025 12:27:14,Saiu da cerca,0.22
RRP,RWB3C06,Carregamento Fabrica RRP,Fábrica,07/08/2025 12:29:00,07/08/2025 13:35:14,Saiu da cerca,1.1
RRP,RWD4B32,Abastecimento Frotas RRP,Abastecimento,07/08/2025 10:23:25,07/08/2025 10:50:15,Saiu da cerca,0.45
RRP,RWD4B32,Carregamento Fabrica RRP,Fábrica,07/08/2025 10:50:15,07/08/2025 11:33:31,Saiu da cerca,0.72
RRP,RWD4B32,Agua Clara,Agua Clara,07/08/2025 13:51:55,07/08/2025 14:10:58,Saiu da cerca,0.32
TLS,RWE5H73,FILA DESCARGA APT,Terminal,07/08/2025 09:57:46,07/08/2025 09:58:48,Saiu da cerca,0.02
TLS,RWE5H73,Descarga TAP,Terminal,07/08/2025 10:08:38,07/08/2025 11:07:34,Saiu da cerca,0.98
TLS,RWE5H73,FILA DESCARGA APT,Terminal,07/08/2025 11:07:34,07/08/2025 11:12:30,Saiu da cerca,0.08
TLS,RWE5H73,Carregamento Fabrica,Fábrica,07/08/2025 14:29:06,,Entrou na cerca,0.0
RRP,RWF6G80,Oficina JSL,Manutenção,07/08/2025 07:19:38,07/08/2025 12:51:18,Saiu da cerca,5.53
RRP,RWF6G80,Abastecimento Frotas RRP,Abastecimento,07/08/2025 13:01:36,07/08/2025 13:15:40,Saiu da cerca,0.23
RRP,RWF6G80,Carregamento Fabrica RRP,Fábrica,07/08/2025 13:17:25,07/08/2025 14:14:02,Saiu da cerca,0.94
TLS,RWH4B89,Carregamento Fabrica,Fábrica,07/08/2025 09:59:01,07/08/2025 10:53:07,Saiu da cerca,0.9
TLS,RWJ4H09,FILA DESCARGA APT,Terminal,07/08/2025 09:33:19,07/08/2025 10:07:44,Saiu da cerca,0.57
TLS,RWJ4H09,Descarga TAP,Terminal,07/08/2025 10:12:39,07/08/2025 11:06:45,Saiu da cerca,0.9
TLS,RWJ4H09,FILA DESCARGA APT,Terminal,07/08/2025 11:06:45,07/08/2025 11:16:35,Saiu da cerca,0.16
RRP,RWJ8A87,Oficina JSL,Manutenção,07/08/2025 08:57:30,07/08/2025 10:23:15,Saiu da cerca,1.43
RRP,RWJ8A87,Manutencao JSL RRP,Manutenção,07/08/2025 10:30:44,07/08/2025 11:14:40,Saiu da cerca,0.73
RRP,RWJ8A87,Oficina JSL,Manutenção,07/08/2025 11:23:25,07/08/2025 13:42:15,Saiu da cerca,2.31
RRP,RWJ8C61,Manutencao JSL RRP,Manutenção,04/08/2025 09:22:39,07/08/2025 10:51:12,Saiu da cerca,73.48
RRP,RWJ8D41,Manutencao JSL RRP,Manutenção,07/08/2025 12:15:24,07/08/2025 13:10:10,Saiu da cerca,0.91
RRP,RWJ8D41,Oficina JSL,Manutenção,07/08/2025 13:18:10,,Entrou na cerca,0.0
RRP,SLZ1D18,Oficina JSL,Manutenção,07/08/2025 11:07:05,07/08/2025 13:11:20,Saiu da cerca,2.07
RRP,SLZ1D18,Manutencao JSL RRP,Manutenção,07/08/2025 13:16:10,,Entrou na cerca,0.0
RRP,SLZ1D72,Manutencao JSL RRP,Manutenção,07/08/2025 09:58:37,07/08/2025 10:24:09,Saiu da cerca,0.43
